COLLEGE,MAJOR CIP,HEAD COUNT
Algonquin College,Aboriginal Studies,30
Algonquin College,Accounting,62
Algonquin College,Accounting and Business/Management,486
Algonquin College,Advertising,165
Algonquin College,"Animation, Interactive Technology, Video Graphics and Special Effects",68
Algonquin College,Architectural Engineering Technology/Technician,16
Algonquin College,Architectural Technology/Technician,250
Algonquin College,Automobile/Automotive Mechanics Technology/Technician,74
Algonquin College,Baking and Pastry Arts/Baker/Pastry Chef,95
Algonquin College,Biology Technician/Biotechnology Laboratory Technician,158
Algonquin College,"Business Administration and Management, General",894
Algonquin College,"Business/Commerce, General",42
Algonquin College,Cabinetmaking and Millwork,62
Algonquin College,Carpentry/Carpenter,103
Algonquin College,Cartography,31
Algonquin College,Child Care Provider/Assistant,449
Algonquin College,Civil Engineering Technology/Technician,268
Algonquin College,"Communication and Media Studies, Other",125
Algonquin College,"Computer and Information Sciences and Support Services, Other",367
Algonquin College,"Computer Programming/Programmer, General",222
Algonquin College,Computer Science,237
Algonquin College,Computer Technology/Computer Systems Technology,298
Algonquin College,"Construction Trades, General",61
Algonquin College,"Criminal Justice and Corrections, Other",145
Algonquin College,Criminal Justice/Police Science,842
Algonquin College,Culinary Arts/Chef Training,100
Algonquin College,Dental Assisting/Assistant,32
Algonquin College,"Drama and Dramatics/Theatre Arts, General",49
Algonquin College,"Electrical, Electronic and Communications Engineering Technology/Technician",363
Algonquin College,Emergency Medical Technology/Technician (EMT Paramedic),147
Algonquin College,English Technical and Business Writing,129
Algonquin College,Executive Assistant/Executive Secretary,81
Algonquin College,Family and Community Services,221
Algonquin College,Fire Science/Firefighting,59
Algonquin College,Foodservice Systems Administration/Management,11
Algonquin College,Forest Technology/Technician,40
Algonquin College,General Office Occupations and Clerical Services,163
Algonquin College,General Studies,52
Algonquin College,Graphic Design,223
Algonquin College,Health Aide,125
Algonquin College,"Health and Medical Administrative Services, Other",107
Algonquin College,"Health and Physical Education, General",358
Algonquin College,"Health Professions and Related Clinical Sciences, Other",91
Algonquin College,"Health/Medical Preparatory Programs, Other",235
Algonquin College,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR)",169
Algonquin College,Home Furnishings and Equipment Installers,84
Algonquin College,Hotel/Motel Administration/Management,217
Algonquin College,Interior Design,137
Algonquin College,"Journalism, General",93
Algonquin College,"Legal Professions and Studies, Other",249
Algonquin College,Library Assistant/Technician,75
Algonquin College,"Licensed Practical/Vocational Nurse Training (LPN, LVN, Cert., Dipl., AAS)",331
Algonquin College,Logistics and Materials Management,169
Algonquin College,"Marketing/Marketing Management, General",348
Algonquin College,Masonry/Mason,20
Algonquin College,Massage Therapy/Therapeutic Massage,128
Algonquin College,Mechanical Engineering/Mechanical Technology/Technician,174
Algonquin College,Museology/Museum Studies,116
Algonquin College,"Music, Other",79
Algonquin College,Not Codeable,"2,492"
Algonquin College,"Parks, Recreation and Leisure Studies",113
Algonquin College,Photography,130
Algonquin College,Playwriting and Screenwriting,25
Algonquin College,Prenursing Studies,216
Algonquin College,Public Relations/Image Management,102
Algonquin College,Radiation Protection/Health Physics Technician,32
Algonquin College,Radio and Television,229
Algonquin College,Respiratory Care Therapy/Therapist,86
Algonquin College,"Restaurant, Culinary and Catering Management/Manager",231
Algonquin College,Robotics Technology/Technician,118
Algonquin College,Small Business Administration/Management,289
Algonquin College,"Social Work, General",250
Algonquin College,"Social Work, Other",126
Algonquin College,Sport and Fitness Administration/Management,25
Algonquin College,System Administration/Administrator,30
Algonquin College,Teaching English as a Second or Foreign Language/ESL Language Instructor,32
Algonquin College,Technology Education/Industrial Arts Programs,53
Algonquin College,Tool and Die Technology/Technician,39
Algonquin College,Tourism and Travel Services Management,84
Algonquin College,Tourism and Travel Services Marketing Operations,172
Algonquin College,Veterinary/Animal Health Technology/Technician and Veterinary Assistant,107
Algonquin College,Water Quality and Wastewater Treatment Management and Recycling Technology/Technician,42
Algonquin College,"Web Page, Digital/Multimedia and Information Resources Design",241
Algonquin College,Youth Services/Administration,271
Algonquin College,Total,"16,068"
Collège Boréal,Accounting and Business/Management,27
Collège Boréal,Aesthetician/Esthetician and Skin Care Specialist,12
Collège Boréal,"Business/Commerce, General",47
Collège Boréal,Child Care Provider/Assistant,134
Collège Boréal,Construction Engineering Technology/Technician,47
Collège Boréal,Corrections,13
Collège Boréal,Criminal Justice/Police Science,52
Collège Boréal,"Electrical, Electronic and Communications Engineering Technology/Technician",75
Collège Boréal,Electrician,46
Collège Boréal,Emergency Medical Technology/Technician (EMT Paramedic),34
Collège Boréal,"Funeral Service and Mortuary Science, General",18
Collège Boréal,General Office Occupations and Clerical Services,27
Collège Boréal,General Studies,12
Collège Boréal,Health Aide,25
Collège Boréal,"Health and Physical Education, General",20
Collège Boréal,"Health/Medical Preparatory Programs, Other",41
Collège Boréal,Heavy Equipment Maintenance Technology/Technician,30
Collège Boréal,Industrial Mechanics and Maintenance Technology,12
Collège Boréal,Legal Assistant/Paralegal,39
Collège Boréal,"Licensed Practical/Vocational Nurse Training (LPN, LVN, Cert., Dipl., AAS)",164
Collège Boréal,Massage Therapy/Therapeutic Massage,22
Collège Boréal,Medical Radiologic Technology/Science - Radiation Therapist,76
Collège Boréal,Not Codeable,131
Collège Boréal,"Nursing/Registered Nurse (RN, ASN, BScN, MScN)",19
Collège Boréal,Pharmacy Technician/Assistant,16
Collège Boréal,"Physical Science Technologies/Technicians, Other",11
Collège Boréal,Physical Therapist Assistant,24
Collège Boréal,"Social Work, General",116
Collège Boréal,"Special Education and Teaching, General",52
Collège Boréal,Veterinary/Animal Health Technology/Technician and Veterinary Assistant,101
Collège Boréal,Welding Technology/Welder,15
Collège Boréal,Wildlife and Wildlands Science and Management,44
Collège Boréal,Total,"1,564"
Cambrian College,Accounting and Business/Management,53
Cambrian College,Automobile/Automotive Mechanics Technology/Technician,26
Cambrian College,"Business Administration and Management, General",85
Cambrian College,"Business/Commerce, General",62
Cambrian College,Chemical Technology/Technician,46
Cambrian College,Child Care Provider/Assistant,170
Cambrian College,Civil Engineering Technology/Technician,136
Cambrian College,Clinical Laboratory Science/Medical Technology/Technologist,105
Cambrian College,Computer Systems Analysis/Analyst,12
Cambrian College,Computer Technology/Computer Systems Technology,56
Cambrian College,Corrections,42
Cambrian College,Criminal Justice/Police Science,120
Cambrian College,Dental Assisting/Assistant,15
Cambrian College,Dental Hygiene/Hygienist,75
Cambrian College,"Electrical, Electronic and Communications Engineering Technology/Technician",102
Cambrian College,Electrician,121
Cambrian College,Emergency Medical Technology/Technician (EMT Paramedic),88
Cambrian College,Energy Management and Systems Technology/Technician,29
Cambrian College,Family and Community Services,58
Cambrian College,Fire Science/Firefighting,16
Cambrian College,General Studies,99
Cambrian College,Graphic Design,80
Cambrian College,Health Aide,31
Cambrian College,"Health and Physical Education, General",117
Cambrian College,"Health/Medical Preparatory Programs, Other",236
Cambrian College,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR)",85
Cambrian College,Heavy Equipment Maintenance Technology/Technician,93
Cambrian College,Hotel/Motel Administration/Management,12
Cambrian College,"Human Resources Management/Personnel Administration, General",35
