College,Program,Head Count
Algonquin College,Advanced Care Paramedic,30
Algonquin College,Advertising,165
Algonquin College,Animal Care,33
Algonquin College,Animation,156
Algonquin College,Architectural Technician,282
Algonquin College,Architectural Technology,78
Algonquin College,Autism And Behavioural Science,36
Algonquin College,Aviation Techniques - Aircraft Maintenance,34
Algonquin College,Bachelor Of Applied Arts (interior Design),137
Algonquin College,Bachelor Of Applied Business (e-business Supply Chain Management),169
Algonquin College,Bachelor of Hospitality and Tourism Management,75
Algonquin College,Baking - Pre-employment,95
Algonquin College,Biotechnology Technologist,158
Algonquin College,Broadcasting - Radio,94
Algonquin College,Broadcasting - Television,135
Algonquin College,Building Construction Technician,63
Algonquin College,Business,311
Algonquin College,Business - Accounting,333
Algonquin College,Business - Marketing,348
Algonquin College,Business Administration,82
Algonquin College,Business Administration - Accounting,"1,047"
Algonquin College,Business Administration - Finance,30
Algonquin College,Business Administration - Human Resources,84
Algonquin College,Business Administration - International Business,43
Algonquin College,Business Administration - Marketing,50
Algonquin College,Business Administration - Materials And Operations Management,62
Algonquin College,Business Intelligence Systems Infrastructure,15
Algonquin College,Carpentry - Renovation,103
Algonquin College,Child And Youth Worker,271
Algonquin College,Civil Engineering Technology,86
Algonquin College,Community And Justice Services,106
Algonquin College,Computer Engineering Technology,279
Algonquin College,Computer Programmer,252
Algonquin College,Computer Systems Technician,385
Algonquin College,Computer Systems Technology,23
Algonquin College,Construction Engineering Technician,325
Algonquin College,Court And Tribunal Agent,111
Algonquin College,Court Reporting - Stenomask,22
Algonquin College,Culinary Management,231
Algonquin College,Culinary Skills - Chef Training,100
Algonquin College,Dental Assisting (levels I And Ii),32
Algonquin College,Dental Hygiene,96
Algonquin College,Developmental Services Worker,221
Algonquin College,Dramatic Scriptwriting,25
Algonquin College,Early Childhood Education,475
Algonquin College,Electrical Engineering Technician,292
Algonquin College,Electrical Engineering Technology,71
Algonquin College,Electro-mechanical Engineering Technician,118
Algonquin College,Environmental Technician,23
Algonquin College,Esthetician,65
Algonquin College,Event Management,84
Algonquin College,Fitness And Health Promotion,206
Algonquin College,Food Service Supervisor,11
Algonquin College,Forestry Technician,40
Algonquin College,Furniture Technician,62
Algonquin College,Game Design And Development,33
Algonquin College,Game Development,367
Algonquin College,General Arts And Science,218
Algonquin College,General Arts And Science - One-year,"1,284"
Algonquin College,Geographic Information System,41
Algonquin College,Graphic Design,223
Algonquin College,Green Architecture,16
Algonquin College,Hair Stylist,57
Algonquin College,"Heating, Refrigeration And Air Conditionning Technician",169
Algonquin College,Horticultural Industries,58
Algonquin College,Horticulture Technician,42
Algonquin College,Hospitality Management,217
Algonquin College,Human Resources Management,32
Algonquin College,Interior Decorating,84
Algonquin College,International Business Management,23
Algonquin College,Internet Website Development,79
Algonquin College,Journalism - Print,93
Algonquin College,Kitchen and Bath Design,14
Algonquin College,Law Clerk,249
Algonquin College,Library And Information Technician,75
Algonquin College,Masonry - Heritage And Traditional,20
Algonquin College,Massage Therapy,162
Algonquin College,Mechanical Engineering Technology,174
Algonquin College,Mechanical Technician,40
Algonquin College,Media Arts,138
Algonquin College,Media Arts - Interactive Multimedia,24
Algonquin College,Medical Imaging Technology - Radiography,76
Algonquin College,Motive Power Technician,75
Algonquin College,Museum Technology,116
Algonquin College,Music Industry Arts,70
Algonquin College,Office Administration - Executive,81
Algonquin College,Office Administration - General,163
Algonquin College,Office Administration - Legal,39
Algonquin College,Office Administration - Medical,20
Algonquin College,Organizational Quality Management,13
Algonquin College,Paramedic,117
Algonquin College,Personal Support Worker,125
Algonquin College,Photography,130
Algonquin College,Police Foundations,842
Algonquin College,Powerline Technician,65
Algonquin College,Practical Nursing,325
Algonquin College,Pre-service Firefighter Education And Training,59
Algonquin College,Professional Accounting,62
Algonquin College,Professional Writing,85
Algonquin College,Public Relations,102
Algonquin College,Radiation Safety,32
Algonquin College,Recreation And Leisure Services,113
Algonquin College,Recreational Tourism Management,152
Algonquin College,Research Analyst,20
Algonquin College,Respiratory Therapy,86
Algonquin College,Small Business Management,20
Algonquin College,Social Service Worker,250
Algonquin College,Sport Business Management,25
Algonquin College,Teachers Of English As A Second/foreign Language,32
Algonquin College,Technical Writer,44
Algonquin College,Theatre Arts - Production,49
Algonquin College,Tourism And Travel,172
Algonquin College,Veterinary Technician,107
Algonquin College,Victimology,32
Algonquin College,Water And Waste Water Technician,42
Algonquin College,Welding Techniques,46
Algonquin College,Wireless/Mobility Telecommunications Engineering Technician,54
Algonquin College,Total,"16,068"
Collège Boréal,Art Fundamentals,13
Collège Boréal,Business,47
Collège Boréal,Business Administration - Accounting,27
Collège Boréal,Chemical Laboratory Technician,11
Collège Boréal,Child And Youth Worker,52
Collège Boréal,Collaborative Nursing,19
Collège Boréal,Community And Justice Services,13
Collège Boréal,Computer Engineering Technician,36
Collège Boréal,Construction Engineering Technician,36
Collège Boréal,Construction Engineering Technology,11
Collège Boréal,Culinary Skills - Chef Training,16
Collège Boréal,Dental Hygiene,29
Collège Boréal,Early Childhood Education,134
Collège Boréal,Electrical Engineering Technician,43
Collège Boréal,Electrical Engineering Technology,22
Collège Boréal,Electrical Techniques,46
Collège Boréal,Electronics Engineering Technology,10
Collège Boréal,Esthetician,12
Collège Boréal,Fish And Wildlife Technician,32
Collège Boréal,Fish And Wildlife Technology,12
Collège Boréal,Fitness And Health Promotion,20
Collège Boréal,Funeral Service Education,18
Collège Boréal,General Arts And Science - One-year,11
Collège Boréal,Heavy Equipment Technician,30
Collège Boréal,Law Clerk,39
Collège Boréal,Massage Therapy,22
Collège Boréal,Mechanical Engineering Technician,12
Collège Boréal,Mechanical Techniques,22
Collège Boréal,Medical Imaging Technology - Radiography,76
Collège Boréal,Occupational Therapist Assistant/physiotherapist Assistant (ota/pta),24
