Course Code,Course description,Grade,Pathway or destination,Enrolment
ADA1O,Drama,Grade 9,Open (Grade 9 - 12 level),34532
ADA2O,Drama,Grade 10,Open (Grade 9 - 12 level),26808
ADA3M,Drama,Grade 11,University/College Preparation (Grade 11 & 12 level),11279
ADA3O,Drama,Grade 11,Open (Grade 9 - 12 level),2440
ADA4E,Drama,Grade 12,Workplace Preparation (Grade 11 & 12 level),206
ADA4M,Drama,Grade 12,University/College Preparation (Grade 11 & 12 level),8107
ADA4O,Drama,Grade 12,Open (Grade 9 - 12 level),<10
ADB1O,Drama - Musical Theatre,Grade 9,Open (Grade 9 - 12 level),229
ADB2O,Drama - Musical Theatre,Grade 10,Open (Grade 9 - 12 level),258
ADB3M,Drama - Musical Theatre,Grade 11,University/College Preparation (Grade 11 & 12 level),624
ADB3O,Drama - Musical Theatre,Grade 11,Open (Grade 9 - 12 level),134
ADB4M,Drama - Musical Theatre,Grade 12,University/College Preparation (Grade 11 & 12 level),610
ADC1O,Drama in the Community,Grade 9,Open (Grade 9 - 12 level),167
ADC2O,Drama in the Community,Grade 10,Open (Grade 9 - 12 level),142
ADC3M,Drama in the Community,Grade 11,University/College Preparation (Grade 11 & 12 level),165
ADC3O,Drama in the Community,Grade 11,Open (Grade 9 - 12 level),110
ADC4M,Drama in the Community,Grade 12,University/College Preparation (Grade 11 & 12 level),332
ADD1O,Drama - Production,Grade 9,Open (Grade 9 - 12 level),549
ADD2O,Drama - Production,Grade 10,Open (Grade 9 - 12 level),750
ADD3M,Drama - Production,Grade 11,University/College Preparation (Grade 11 & 12 level),1024
ADD3O,Drama - Production,Grade 11,Open (Grade 9 - 12 level),194
ADD4M,Drama - Production,Grade 12,University/College Preparation (Grade 11 & 12 level),1104
ADD4O,Drama - Production,Grade 12,Open (Grade 9 - 12 level),<10
ADF3M,Director's Craft,Grade 11,University/College Preparation (Grade 11 & 12 level),47
ADF4M,Director's Craft,Grade 12,University/College Preparation (Grade 11 & 12 level),198
