UNIVERSITY,PROGRAMS SPEMAJ,HEAD COUNT
Algoma,"4.12.00 - Commerce, management, business administration, administrative studies/sciences",305
Algoma,8.06.00 - Computer science,143
Algoma,3.05.00 - English language and/or literature,32
Algoma,2.03.00 - Fine art,22
Algoma,3.06.00 - French language and/or literature,10
Algoma,0.00.02 - General Arts,20
Algoma,4.30.00 - Geography,15
Algoma,3.09.00 - History,40
Algoma,4.33.00 - Law and jurisprudence,74
Algoma,2.05.00 - Music,17
Algoma,9.99.98 - Not applicable/none,13
Algoma,5.09.99 - Other biology,56
Algoma,3.11.99 - Other languages and literatures,20
Algoma,4.57.00 - Other social services,32
Algoma,4.43.00 - Political science,15
Algoma,4.46.00 - Psychology,120
Algoma,4.49.00 - Social work and social welfare,114
Algoma,4.52.00 - Sociology,43
Algoma,Total,"1,106"
Brock,5.06.00 - Biochemistry,80
Brock,4.08.00 - Canadian studies,21
Brock,8.15.00 - Chemistry,83
Brock,"3.03.00 - Classics, classical and dead languages",96
Brock,"4.12.00 - Commerce, management, business administration, administrative studies/sciences","3,021"
Brock,8.06.00 - Computer science,203
Brock,4.27.00 - Economics,175
Brock,1.38.02 - Education administration,84
Brock,1.38.03 - Education psychology,55
Brock,1.18.00 - Elementary/secondary teacher training,676
Brock,3.05.00 - English language and/or literature,468
Brock,7.24.00 - Epidemiology and public health,681
Brock,2.03.00 - Fine art,168
Brock,3.06.00 - French language and/or literature,102
Brock,0.00.02 - General Arts,"1,664"
Brock,0.00.08 - General Science,331
Brock,4.30.00 - Geography,191
Brock,8.18.00 - Geology and related,79
Brock,3.09.00 - History,403
Brock,0.00.01 - Interdisciplinary Studies,12
Brock,"1.40.00 - Kinesiology, human kinetics and kinanthropology",530
Brock,3.14.00 - Linguistics,251
Brock,8.12.00 - Mathematics,179
Brock,2.05.00 - Music,54
Brock,9.99.98 - Not applicable/none,42
Brock,7.15.00 - Nursing,321
Brock,2.14.99 - Other applied arts,70
Brock,5.09.99 - Other biology,533
Brock,3.11.99 - Other languages and literatures,31
Brock,3.17.00 - Other mass communication studies,608
Brock,1.38.99 - Other non-teaching fields,31
Brock,2.08.00 - Other performing arts,231
Brock,8.30.99 - Other physics,57
Brock,3.21.00 - Philosophy,83
Brock,1.39.00 - Physical education,448
Brock,4.43.00 - Political science,333
Brock,4.46.00 - Psychology,"1,864"
Brock,4.14.01 - Public administration,53
Brock,1.41.00 - Recreation,879
Brock,"4.40.10 - Resource management, environmental studies",108
Brock,4.52.00 - Sociology,544
Brock,Total,"15,854"
Carleton,6.05.00 - Aeronautical and aerospace engineering,491
Carleton,4.03.00 - Anthropology,136
Carleton,6.03.00 - Architecture,417
Carleton,5.06.00 - Biochemistry,195
Carleton,4.08.00 - Canadian studies,76
Carleton,8.15.00 - Chemistry,256
Carleton,6.07.00 - Civil engineering,634
Carleton,"3.03.00 - Classics, classical and dead languages",51
Carleton,"4.12.00 - Commerce, management, business administration, administrative studies/sciences","1,901"
Carleton,3.11.01 - Comparative literature,32
Carleton,8.06.00 - Computer science,782
Carleton,4.13.00 - Criminology,"1,082"
Carleton,4.27.00 - Economics,792
Carleton,6.09.00 - Electrical engineering,792
Carleton,6.15.00 - Engineering science,58
Carleton,3.05.00 - English language and/or literature,525
Carleton,3.06.00 - French language and/or literature,65
Carleton,0.00.02 - General Arts,427
Carleton,0.00.08 - General Science,384
Carleton,4.30.00 - Geography,183
Carleton,8.18.00 - Geology and related,120
Carleton,3.09.00 - History,792
Carleton,2.14.01 - Industrial design,191
Carleton,0.00.01 - Interdisciplinary Studies,120
Carleton,3.10.00 - Journalism,533
Carleton,4.33.00 - Law and jurisprudence,"1,119"
Carleton,3.14.00 - Linguistics,278
Carleton,8.12.00 - Mathematics,272
Carleton,6.12.00 - Mechanical engineering,649
Carleton,2.05.00 - Music,202
Carleton,9.99.98 - Not applicable/none,367
Carleton,9.99.99 - Not reported,232
Carleton,4.09.99 - Other area studies,16
Carleton,5.09.99 - Other biology,555
Carleton,6.14.00 - Other engineering,"1,312"
Carleton,3.17.00 - Other mass communication studies,"1,131"
Carleton,8.30.99 - Other physics,119
Carleton,3.21.00 - Philosophy,104
Carleton,4.43.00 - Political science,"1,158"
Carleton,4.46.00 - Psychology,"2,084"
Carleton,4.14.01 - Public administration,555
Carleton,3.24.00 - Religious studies,51
Carleton,"4.40.10 - Resource management, environmental studies",217
Carleton,4.09.40 - Slavic studies,27
Carleton,4.49.00 - Social work and social welfare,359
Carleton,4.52.00 - Sociology,585
Carleton,Total,"22,436"
Guelph,5.03.10 - Animal science,799
Guelph,4.03.00 - Anthropology,113
Guelph,5.06.00 - Biochemistry,314
Guelph,5.12.00 - Biophysics,37
Guelph,8.15.00 - Chemistry,268
Guelph,"3.03.00 - Classics, classical and dead languages",60
Guelph,"4.12.00 - Commerce, management, business administration, administrative studies/sciences","3,794"
Guelph,8.06.00 - Computer science,223
Guelph,4.13.00 - Criminology,574
Guelph,4.27.00 - Economics,217
Guelph,3.05.00 - English language and/or literature,510
Guelph,7.24.00 - Epidemiology and public health,36
Guelph,2.03.00 - Fine art,322
Guelph,5.16.00 - Fisheries and wildlife management,166
Guelph,5.18.08 - Food science and nutrition,985
Guelph,3.06.00 - French language and/or literature,100
Guelph,0.00.02 - General Arts,555
Guelph,0.00.00 - General Arts and Science,388
Guelph,0.00.08 - General Science,35
Guelph,5.09.10 - Genetics,184
Guelph,4.30.00 - Geography,253
Guelph,3.09.00 - History,394
Guelph,4.14.03 - Hotel and food administration,343
Guelph,"1.40.00 - Kinesiology, human kinetics and kinanthropology","1,323"
Guelph,6.22.00 - Landscape architecture,261
Guelph,8.12.00 - Mathematics,179
Guelph,5.09.12 - Microbiology,193
Guelph,2.05.00 - Music,76
Guelph,5.03.99 - Other agriculture,748
Guelph,4.09.99 - Other area studies,417
Guelph,7.06.99 - other basic sciences,22
Guelph,5.09.99 - Other biology,"1,480"
Guelph,6.14.00 - Other engineering,"1,453"
Guelph,5.18.99 - Other household science and related,"1,898"
Guelph,3.11.99 - Other languages and literatures,52
Guelph,3.17.00 - Other mass communication studies,694
Guelph,2.08.00 - Other performing arts,152
Guelph,8.30.99 - Other physics,254
Guelph,3.21.00 - Philosophy,153
Guelph,5.03.22 - Plant science,234
Guelph,4.43.00 - Political science,466
Guelph,4.46.00 - Psychology,"1,377"
Guelph,4.14.01 - Public administration,74
Guelph,"4.40.08 - Regional, rural, urban, city planning and community development",74
Guelph,"4.40.10 - Resource management, environmental studies",659
Guelph,4.52.00 - Sociology,660
Guelph,5.03.26 - Soil science,25
Guelph,5.25.00 - Toxicology,72
Guelph,5.21.00 - Veterinary medicine,591
Guelph,5.22.00 - Veterinary sciences,172
Guelph,5.24.00 - Zoology,468
Guelph,Total,"24,920"
Lakehead,4.03.00 - Anthropology,59
Lakehead,5.06.00 - Biochemistry,24
Lakehead,4.08.00 - Canadian studies,24
Lakehead,6.06.00 - Chemical engineering,82
Lakehead,8.15.00 - Chemistry,60
Lakehead,6.07.00 - Civil engineering,312
Lakehead,"4.12.00 - Commerce, management, business administration, administrative studies/sciences",460
Lakehead,8.06.00 - Computer science,73
Lakehead,4.27.00 - Economics,37
Lakehead,1.38.08 - Education foundations,150
Lakehead,6.09.00 - Electrical engineering,155
Lakehead,1.18.00 - Elementary/secondary teacher training,809
Lakehead,3.05.00 - English language and/or literature,291
Lakehead,7.24.00 - Epidemiology and public health,91
Lakehead,2.03.00 - Fine art,54
Lakehead,6.20.00 - Forestry,87
Lakehead,3.06.00 - French language and/or literature,85
Lakehead,0.00.00 - General Arts and Science,163
Lakehead,4.30.00 - Geography,131
Lakehead,8.18.00 - Geology and related,98
Lakehead,3.09.00 - History,162
Lakehead,0.00.01 - Interdisciplinary Studies,481
Lakehead,"1.40.00 - Kinesiology, human kinetics and kinanthropology",351
Lakehead,8.12.00 - Mathematics,59
Lakehead,6.12.00 - Mechanical engineering,212
Lakehead,2.05.00 - Music,62
Lakehead,9.99.98 - Not applicable/none,28
Lakehead,7.15.00 - Nursing,703
Lakehead,5.09.99 - Other biology,265
Lakehead,6.14.00 - Other engineering,73
Lakehead,8.30.99 - Other physics,25
Lakehead,4.57.00 - Other social services,14
Lakehead,3.21.00 - Philosophy,24
Lakehead,4.43.00 - Political science,109
