UNIVERSITY,CAMPUS,HEAD COUNT
Algoma,Algoma University,"1,106"
Algoma,Algoma,"1,106"
Brock,Brock College of Education,325
Brock,Brock University,"15,198"
Brock,Brock University - Hamilton Campus,331
Brock,Brock,"15,854"
Carleton,Carleton University,"22,436"
Carleton,Carleton,"22,436"
Guelph,Kemptville College,201
Guelph,Ridgetown College,468
Guelph,University of Guelph,"20,829"
Guelph,University of Guelph - Humber Campus,"3,422"
Guelph,Guelph,"24,920"
Lakehead,Lakehead University,"5,986"
Lakehead,Lakehead University - Orillia Campus,"1,114"
Lakehead,Lakehead,"7,100"
Laurentian,Laurentian University,"5,756"
Laurentian,Laurentian University - Off Campus Centres,926
Laurentian,Le collège universitaire de Hearst,69
Laurentian,Laurentian,"6,753"
McMaster,McMaster Divinity College,54
McMaster,McMaster Nursing at Conestoga,438
McMaster,McMaster Nursing at Mohawk,578
McMaster,McMaster University,"24,723"
McMaster,McMaster,"25,793"
Nipissing,Nipissing University,"3,616"
Nipissing,Nipissing University - Bracebridge Campus,128
Nipissing,Nipissing University - Brantford Campus,22
Nipissing,Nipissing,"3,766"
NOSM,"Northern Ontario School of Medicine, East",140
NOSM,"Northern Ontario School of Medicine, West",247
NOSM,NOSM,387
OCAD,Ontario College of Art & Design,"3,571"
OCAD,OCAD,"3,571"
Ottawa,Université d'Ottawa,"34,664"
Ottawa,Université Saint-Paul,468
Ottawa,Ottawa,"35,132"
"Queen""s",Queen's Theological College,15
"Queen""s",Queen's University,"21,034"
"Queen""s","Queen""s","21,049"
Ryerson,Ryerson University,"22,728"
Ryerson,Ryerson,"22,728"
Toronto,Toronto School of Theology,575
Toronto,University of Toronto  (includes federated Arts Colleges),"51,016"
Toronto,University of Toronto Mississauga (formerly Erindale College),"11,472"
Toronto,University of Toronto Scarborough (formerly Scarborough College),"10,152"
Toronto,Toronto,"73,215"
Trent,Trent University,"6,302"
Trent,Trent University at Durham College/UOIT,522
Trent,Trent,"6,824"
UOIT,University of Ontario Institute of Technology,"8,472"
UOIT,UOIT,"8,472"
Waterloo,Cambridge - School of Architecture,460
Waterloo,Conrad Grebel University College,13
Waterloo,Kitchener - Pharmacy,373
Waterloo,Stratford - Digital Media,16
Waterloo,University of Waterloo,"31,325"
Waterloo,Waterloo,"32,187"
Western,Brescia University College,"1,153"
Western,Huron University College,"1,238"
Western,King's University College,"3,263"
Western,University of Western Ontario,"27,832"
Western,Western,"33,486"
Wilfrid Laurier,Waterloo Lutheran Seminary,70
Wilfrid Laurier,Wilfrid Laurier University,"13,302"
Wilfrid Laurier,Wilfrid Laurier University - Brantford Campus,"2,589"
Wilfrid Laurier,Wilfrid Laurier University - Kitchener Campus,242
Wilfrid Laurier,Wilfrid Laurier,"16,203"
Windsor,University of Windsor,"13,710"
Windsor,Windsor,"13,710"
York,York University,"45,164"
York,York,"45,164"
Dominician,Coll. Dominicain de Philo. et de Théology,107
Dominician,Dominician,107
Total,,"419,963"
