UNIVERSITY,PROGRAM FORPOS,HEAD COUNT
Algoma,"103 - Arts, gen and 1st yr honours",227
Algoma,"104 - Arts, upper years honours",210
Algoma,105 - Commerce and business admin,305
Algoma,108 - Fine and applied arts,22
Algoma,123 - Science general & 1st yr hon,126
Algoma,124 - Science upper yrs honours,102
Algoma,125 - Social work - 1st year,36
Algoma,145 - Social work - upper years,78
Algoma,Total,"1,106"
Brock,"103 - Arts, gen and 1st yr honours","3,284"
Brock,"104 - Arts, upper years honours","1,643"
Brock,243 - Child study,24
Brock,171 - Collaborative nursing,321
Brock,244 - Commerce & business admin,477
Brock,105 - Commerce and business admin,"2,502"
Brock,285 - Computer science,18
Brock,273 - Education,170
Brock,139 - Education - consecutive deg,656
Brock,108 - Fine and applied arts,507
Brock,249 - Geography,12
Brock,252 - Humanities,81
Brock,257 - Mathematics,19
Brock,117 - Music,54
Brock,263 - Physical & biol sciences,107
Brock,120 - Physical & health education,"1,863"
Brock,262 - Physical & health educatn,135
Brock,265 - Psychology,42
Brock,123 - Science general & 1st yr hon,"2,050"
Brock,124 - Science upper yrs honours,"1,794"
Brock,268 - Social sciences - other,49
Brock,267 - Social work,46
Brock,Total,"15,854"
Carleton,102 - Architecture,316
Carleton,291 - Architecture,27
Carleton,242 - Architecture,77
Carleton,"103 - Arts, gen and 1st yr honours","3,370"
Carleton,"104 - Arts, upper years honours","4,412"
Carleton,244 - Commerce & business admin,145
Carleton,105 - Commerce and business admin,"2,141"
Carleton,246 - Engineering,669
Carleton,107 - Engineering,"2,946"
Carleton,247 - Fine and applied arts,22
Carleton,249 - Geography,35
Carleton,252 - Humanities,349
Carleton,146 - Industrial Design,172
Carleton,111 - Journalism,185
Carleton,254 - Journalism,56
Carleton,255 - Law,23
Carleton,257 - Mathematics,80
Carleton,117 - Music,128
Carleton,259 - Music,18
Carleton,263 - Physical & biol sciences,323
Carleton,265 - Psychology,198
Carleton,266 - Public administration,187
