UNIVERSITY,LEVEL OF STUDY,HEAD COUNT
Algoma,Undergraduate Diploma / non-degree,24
Algoma,Undergraduate Degree,"1,082"
Algoma,Total,"1,106"
Brock,Undergraduate Diploma / non-degree,132
Brock,Undergraduate Degree,"14,542"
Brock,Graduate - Master's,"1,046"
Brock,Graduate - PhD,132
Brock,Total,"15,854"
Carleton,Undergraduate Diploma / non-degree,11
Carleton,Undergraduate Degree,"19,445"
Carleton,Graduate - Diploma,43
Carleton,Graduate - Master's,"2,062"
Carleton,Graduate - PhD,875
Carleton,Total,"22,436"
Guelph,Undergraduate Diploma / non-degree,645
Guelph,Undergraduate Degree,"21,862"
Guelph,Graduate - Master's,"1,588"
Guelph,Graduate - PhD,817
Guelph,Total,"24,920"
Lakehead,Undergraduate Diploma / non-degree,47
Lakehead,Undergraduate Degree,"6,301"
Lakehead,Graduate - Master's,647
Lakehead,Graduate - PhD,105
Lakehead,Total,"7,100"
Laurentian,Undergraduate Degree,"6,345"
Laurentian,Graduate - Diploma,10
Laurentian,Graduate - Master's,305
Laurentian,Graduate - PhD,88
Laurentian,Total,"6,753"
McMaster,Undergraduate Diploma / non-degree,920
McMaster,Undergraduate Degree,"21,329"
McMaster,Graduate - Diploma,15
McMaster,Graduate - Master's,"2,168"
McMaster,Graduate - PhD,"1,361"
McMaster,Total,"25,793"
Nipissing,Undergraduate Degree,"3,665"
Nipissing,Graduate - Master's,84
Nipissing,Graduate - PhD,10
Nipissing,Total,"3,766"
NOSM,Undergraduate Diploma / non-degree,138
NOSM,Undergraduate Degree,249
NOSM,Total,387
OCAD,Undergraduate Degree,"3,437"
OCAD,Graduate - Master's,133
OCAD,Total,"3,571"
Ottawa,Undergraduate Diploma / non-degree,"1,413"
Ottawa,Undergraduate Degree,"28,507"
Ottawa,Graduate - Diploma,72
Ottawa,Graduate - Master's,"3,514"
Ottawa,Graduate - PhD,"1,626"
Ottawa,Total,"35,132"
"Queen""s",Undergraduate Diploma / non-degree,660
"Queen""s",Undergraduate Degree,"16,643"
"Queen""s",Graduate - Diploma,12
"Queen""s",Graduate - Master's,"2,524"
"Queen""s",Graduate - PhD,"1,210"
"Queen""s",Total,"21,049"
Ryerson,Undergraduate Degree,"20,731"
Ryerson,Graduate - Master's,"1,566"
Ryerson,Graduate - PhD,431
Ryerson,Total,"22,728"
Toronto,Undergraduate Diploma / non-degree,"3,105"
Toronto,Undergraduate Degree,"56,130"
Toronto,Graduate - Diploma,11
Toronto,Graduate - Master's,"7,971"
Toronto,Graduate - PhD,"5,998"
Toronto,Total,"73,215"
Trent,Undergraduate Diploma / non-degree,64
Trent,Undergraduate Degree,"6,345"
Trent,Graduate - Master's,290
Trent,Graduate - PhD,125
Trent,Total,"6,824"
UOIT,Undergraduate Diploma / non-degree,18
UOIT,Undergraduate Degree,"8,121"
UOIT,Graduate - Master's,228
UOIT,Graduate - PhD,101
UOIT,Total,"8,472"
Waterloo,Undergraduate Diploma / non-degree,508
Waterloo,Undergraduate Degree,"27,841"
Waterloo,Graduate - Master's,"2,184"
Waterloo,Graduate - PhD,"1,654"
Waterloo,Total,"32,187"
Western,Undergraduate Diploma / non-degree,847
Western,Undergraduate Degree,"27,798"
Western,Graduate - Master's,"2,836"
Western,Graduate - PhD,"2,005"
Western,Total,"33,486"
Wilfrid Laurier,Undergraduate Degree,"15,272"
Wilfrid Laurier,Graduate - Master's,727
Wilfrid Laurier,Graduate - PhD,204
Wilfrid Laurier,Total,"16,203"
Windsor,Undergraduate Diploma / non-degree,106
Windsor,Undergraduate Degree,"11,698"
Windsor,Graduate - Master's,"1,532"
Windsor,Graduate - PhD,373
Windsor,Total,"13,710"
York,Undergraduate Diploma / non-degree,27
York,Undergraduate Degree,"41,220"
York,Graduate - Master's,"2,309"
York,Graduate - PhD,"1,607"
York,Total,"45,164"
Dominician,Undergraduate Degree,49
Dominician,Graduate - Master's,21
Dominician,Graduate - PhD,29
Dominician,Total,107
Total,,"419,963"
