Board Number,Board Name,Elementary Male,Elementary Female,Secondary Male,Secondary Female,Total Male,Total Female,Total Enrolment
B28010,Algoma DSB,3413,3146,2090,1922,5503,5068,5068
B67202,Algonquin and Lakeshore CDSB,3835,3776,2095,2262,5930,6038,6038
B66010,Avon Maitland DSB,5285,4983,3276,3103,8561,8086,8086
B66001,Bluewater DSB,5892,5527,3188,2862,9080,8389,8389
B67164,Brant Haldimand Norfolk CDSB,3211,3144,1807,1921,5018,5065,5065
B67008,Bruce-Grey CDSB,1227,1175,637,671,1864,1846,1846
B67172,CDSB of Eastern Ontario,4518,4305,2415,2222,6933,6527,6527
B66311,C�P de l'Est de l'Ontario,4570,4527,1805,2142,6375,6669,6669
B67300,Conseil scolaire catholique Providence,3455,3923,723,857,4178,4780,4780
B66303,CS Viamonde,3774,4045,816,808,4590,4853,4853
B28118,CSD du Grand Nord de l'Ontario,804,796,357,348,1161,1144,1144
B28100,CSD du Nord-Est de l'Ontario,731,767,220,230,951,997,997
B67318,CSDC Centre-Sud,5621,6053,1390,1471,7011,7524,7524
B67326,CSDC de l'Est ontarien,3660,3560,1633,1821,5293,5381,5381
B29130,CSDC des Aurores bor�ales,345,282,50,49,395,331,331
B29106,CSDC des Grandes Rivi�res,2077,2208,1088,1029,3165,3237,3237
B67334,CSDC du Centre-Est de l'Ontario,7822,8120,2353,2412,10175,10532,10532
B29122,CSDC du Nouvel-Ontario,2467,2628,919,1017,3386,3645,3645
B29114,CSDC Franco-Nord,976,1005,452,491,1428,1496,1496
B66150,DSB Niagara,12399,11747,7008,6612,19407,18359,18359
B28002,DSB Ontario North East,2336,2113,1862,1626,4198,3739,3739
B67083,Dufferin-Peel CDSB,25829,24574,17458,16713,43287,41287,41287
B67105,Durham CDSB,7459,7065,4265,3900,11724,10965,10965
B66060,Durham DSB,23872,22763,12129,11063,36001,33826,33826
B66168,Grand Erie DSB,9069,8461,5216,4774,14285,13235,13235
B66028,Greater Essex County DSB,12440,11490,6698,5853,19138,17343,17343
B67113,Halton CDSB,10434,9891,5400,4886,15834,14777,14777
B66133,Halton DSB,21026,20251,9826,9049,30852,29300,29300
B67121,Hamilton-Wentworth CDSB,9501,9093,5724,5458,15225,14551,14551
B66141,Hamilton-Wentworth DSB,17688,16490,9046,7926,26734,24416,24416
B66222,Hastings & Prince Edward DSB,5297,5094,3048,2697,8345,7791,7791
B67016,Huron Perth CDSB,1577,1522,698,721,2275,2243,2243
B29025,Huron-Superior CDSB,1835,1797,760,727,2595,2524,2524
B15148,James Bay Lowlands SSB,,,97,107,97,107,107
B66079,Kawartha Pine Ridge DSB,11150,10677,6335,5947,17485,16624,16624
B28045,Keewatin-Patricia DSB,1476,1368,1204,1124,2680,2492,2492
B29050,Kenora CDSB,586,609,230,191,816,800,800
B28061,Lakehead DSB,3202,2967,1931,1690,5133,4657,4657
B66036,Lambton Kent DSB,7516,7331,4503,4093,12019,11424,11424
B66206,Limestone DSB,6854,6388,4077,3801,10931,10189,10189
B67032,London District Catholic School Board,6192,5921,3981,3642,10173,9563,9563
B15199,Moose Factory Island DSAB,131,132,,,131,132,132
B15202,Moosonee DSAB,129,138,,,129,138,138
B28037,Near North DSB,3515,3172,2034,1887,5549,5059,5059
B67156,Niagara CDSB,7744,7420,4083,3892,11827,11312,11312
B29017,Nipissing-Parry Sound CDSB,1046,1038,440,463,1486,1501,1501
B29009,Northeastern CDSB,981,901,232,229,1213,1130,1130
B29041,Northwest CDSB,652,662,,,652,662,662
B67180,Ottawa CDSB,12559,11810,7665,7034,20224,18844,18844
B66184,Ottawa-Carleton DSB,24599,23541,12777,11967,37376,35508,35508
B66125,Peel DSB,56661,52586,24194,20970,80855,73556,73556
B79910,Penetanguishene PSSB,120,112,,,120,112,112
B67067,Peterborough Victoria Northumberland and Clarington CDSB,4749,4653,2520,2427,7269,7080,7080
B28029,Rainbow DSB,4522,4052,2874,2575,7396,6627,6627
B28053,Rainy River DSB,873,899,624,586,1497,1485,1485
B67199,Renfrew County CDSB,1832,1663,532,579,2364,2242,2242
B66214,Renfrew County DSB,3083,2831,2014,1853,5097,4684,4684
B66109,Simcoe County DSB,17731,16970,9190,8206,26921,25176,25176
B67091,Simcoe Muskoka CDSB,6732,6427,3921,3806,10653,10233,10233
B67040,St Clair CDSB,3264,3108,1416,1400,4680,4508,4508
B29033,Sudbury CDSB,2116,2056,1051,1119,3167,3175,3175
B29076,Superior North CDSB,428,331,,,428,331,331
B28070,Superior-Greenstone DSB,449,389,469,413,918,802,802
B66044,Thames Valley DSB,25856,24623,13315,12116,39171,36739,36739
B29068,Thunder Bay CDSB,2833,2830,1259,1233,4092,4063,4063
B67059,Toronto CDSB,30942,29740,15347,15585,46289,45325,45325
B66052,Toronto DSB,88305,84240,44052,39482,132357,123722,123722
B66087,Trillium Lakelands DSB,5680,5310,3505,3302,9185,8612,8612
B66192,Upper Canada DSB,9250,8746,5784,5516,15034,14262,14262
B66117,Upper Grand DSB,11262,10725,6297,5837,17559,16562,16562
B67148,Waterloo CDSB,7493,7321,3654,3330,11147,10651,10651
B66176,Waterloo Region DSB,21429,20349,11142,10197,32571,30546,30546
B67130,Wellington CDSB,2852,2753,1347,1258,4199,4011,4011
B67024,Windsor-Essex CDSB,7454,6815,4389,4042,11843,10857,10857
B67075,York CDSB,19117,18257,9276,9164,28393,27421,27421
B66095,York Region DSB,41744,38862,21083,18595,62827,57457,57457
