Board Number,Board Name,Core Elementary,Core Secondary,Core Total,Extended Elementary,Extended Secondary,Extended Total,Immersion Elementary,Immersion Secondary,Immersion Total,Total Elementary,Total Secondary,Total Enrolment
B28010,Algoma DSB,4137,436,4573,<10,,<10,945,194,1139,SP,630,SP
B67202,Algonquin and Lakeshore CDSB,5282,1015,6297,,117,117,1027,83,1110,6309,1215,7524
B66010,Avon Maitland DSB,4990,1493,6483,,,,316,80,396,5306,1573,6879
B66001,Bluewater DSB,5134,779,5913,,22,22,1231,115,1346,6365,916,7281
B67164,Brant Haldimand Norfolk CDSB,3195,529,3724,,,,187,,187,3382,529,3911
B67008,Bruce-Grey CDSB,1899,297,2196,,,,478,131,609,2377,428,2805
B67172,CDSB of Eastern Ontario,4483,752,5235,385,434,819,3594,440,4034,8462,1626,10088
B66150,DSB Niagara,10416,1831,12247,,896,896,2160,,2160,12576,2727,15303
B28002,DSB Ontario North East,2420,504,2924,,,,1685,241,1926,4105,745,4850
B67083,Dufferin-Peel CDSB,24623,10264,34887,1658,1114,2772,1056,,1056,27337,11378,38715
B67105,Durham CDSB,6911,1094,8005,109,,109,1377,244,1621,8397,1338,9735
B66060,Durham DSB,20883,3144,24027,,,,5174,1046,6220,26057,4190,30247
B66168,Grand Erie DSB,8624,2406,11030,,,,1042,178,1220,9666,2584,12250
B66028,Greater Essex County DSB,10838,2310,13148,,63,63,3408,311,3719,14246,2684,16930
B67113,Halton CDSB,9404,2610,12014,1018,290,1308,,,,10422,2900,13322
B66133,Halton DSB,15787,4552,20339,,72,72,8977,1729,10706,24764,6353,31117
B67121,Hamilton-Wentworth CDSB,9192,1330,10522,,,,916,121,1037,10108,1451,11559
B66141,Hamilton-Wentworth DSB,16144,2408,18552,,,,2635,348,2983,18779,2756,21535
B66222,Hastings & Prince Edward DSB,4667,1242,5909,68,,68,488,217,705,5223,1459,6682
B67016,Huron Perth CDSB,2220,343,2563,,,,362,108,470,2582,451,3033
B29025,Huron-Superior CDSB,2108,169,2277,,,,1002,79,1081,3110,248,3358
B15148,James Bay Lowlands SSB,,12,12,,,,,,,,12,12
B66079,Kawartha Pine Ridge DSB,9261,3027,12288,494,126,620,2730,575,3305,12485,3728,16213
B28045,Keewatin-Patricia DSB,1155,267,1422,,,,,29,29,1155,296,1451
B29050,Kenora CDSB,393,67,460,,,,370,77,447,763,144,907
B28061,Lakehead DSB,2770,437,3207,,<10,<10,677,143,820,3447,SP,SP
B66036,Lambton Kent DSB,10548,1749,12297,,,,1548,336,1884,12096,2085,14181
B66206,Limestone DSB,7181,1256,8437,,125,125,1862,358,2220,9043,1739,10782
B67032,London District Catholic School Board,9191,938,10129,,,,989,277,1266,10180,1215,11395
B15202,Moosonee DSAB,<10,,<10,,,,,,,<10,,<10
B28037,Near North DSB,4567,500,5067,205,187,392,886,100,986,5658,787,6445
B67156,Niagara CDSB,12162,2489,14651,59,,59,,,,12221,2489,14710
B29017,Nipissing-Parry Sound CDSB,831,59,890,240,,240,567,92,659,1638,151,1789
B29009,Northeastern CDSB,1097,78,1175,,40,40,546,,546,1643,118,1761
B29041,Northwest CDSB,462,,462,,,,186,,186,648,,648
B67180,Ottawa CDSB,3025,1545,4570,11042,<10,SP,9896,3006,12902,23963,SP,SP
B66184,Ottawa-Carleton DSB,24869,6192,31061,,699,699,22593,4078,26671,47462,10969,58431
B66125,Peel DSB,48728,6461,55189,534,415,949,12226,1045,13271,61488,7921,69409
B79910,Penetanguishene PSSB,112,,112,,,,,,,112,,112
B67067,Peterborough Victoria Northum Clarington CDSB,4300,568,4868,,,,1362,317,1679,5662,885,6547
B28029,Rainbow DSB,2992,503,3495,,,,2407,580,2987,5399,1083,6482
B28053,Rainy River DSB,683,150,833,,,,,17,17,683,167,850
B67199,Renfrew County CDSB,3318,343,3661,149,,149,,,,3467,343,3810
B66214,Renfrew County DSB,5050,1161,6211,108,209,317,590,14,604,5748,1384,7132
B66109,Simcoe County DSB,16658,2402,19060,1195,673,1868,,,,17853,3075,20928
B67091,Simcoe Muskoka CDSB,10670,987,11657,,,,,,,10670,987,11657
B67040,St Clair CDSB,5652,295,5947,,,,675,135,810,6327,430,6757
B29033,Sudbury CDSB,1601,345,1946,,<10,<10,1218,335,1553,2819,SP,SP
B29076,Superior North CDSB,577,,577,,,,,,,577,,577
B28070,Superior-Greenstone DSB,596,172,768,,,,,,,596,172,768
B66044,Thames Valley DSB,22942,5068,28010,,166,166,4370,651,5021,27312,5885,33197
B29068,Thunder Bay CDSB,2303,287,2590,,,,902,160,1062,3205,447,3652
B67059,Toronto CDSB,45875,4867,50742,,917,917,3713,138,3851,49588,5922,55510
B66052,Toronto DSB,70492,17203,87695,4376,1633,6009,14959,2377,17336,89827,21213,111040
B66087,Trillium Lakelands DSB,4970,784,5754,,102,102,1247,174,1421,6217,1060,7277
B66192,Upper Canada DSB,10807,873,11680,,761,761,7060,378,7438,17867,2012,19879
B66117,Upper Grand DSB,9574,3029,12603,,24,24,3359,544,3903,12933,3597,16530
B67148,Waterloo CDSB,7493,1793,9286,,,,,,,7493,1793,9286
B66176,Waterloo Region DSB,27271,5725,32996,830,459,1289,4551,380,4931,32652,6564,39216
B67130,Wellington CDSB,2999,378,3377,,,,,,,2999,378,3377
B67024,Windsor-Essex CDSB,7629,1260,8889,,,,678,298,976,8307,1558,9865
B67075,York CDSB,29702,5855,35557,,,,858,,858,30560,5855,36415
B66095,York Region DSB,36920,5866,42786,,,,9602,1929,11531,46522,7795,54317
