Board Number,Board Name,Grade 9,Grade 10,Grade 11,Grade 12,Total Enrolment
B28010,Algoma DSB,868,882,953,1525,4228
B67202,Algonquin and Lakeshore CDSB,861,951,1224,1423,4459
B66010,Avon Maitland DSB,1299,1435,1543,2237,6514
B66001,Bluewater DSB,1281,1329,1386,2358,6354
B67164,Brant Haldimand Norfolk CDSB,864,891,946,1278,3979
B67008,Bruce-Grey CDSB,274,312,280,497,1363
B67172,CDSB of Eastern Ontario,1095,1124,1156,1461,4836
B66311,C�P de l'Est de l'Ontario,828,867,947,1343,3985
B66303,CS Viamonde,396,388,391,416,1591
B67300,CSD des �coles catholiques du Sud-Ouest,421,360,386,420,1587
B28118,CSD du Grand Nord de l'Ontario,116,165,201,267,749
B28100,CSD du Nord-Est de l'Ontario,108,90,104,151,453
B67318,CSDC Centre-Sud,722,747,669,711,2849
B67326,CSDC de l'Est ontarien,795,838,871,1064,3568
B29130,CSDC des Aurores bor�ales,23,14,29,17,83
B29106,CSDC des Grandes Rivi�res,529,500,563,605,2197
B67334,CSDC du Centre-Est de l'Ontario,1209,1199,1153,1131,4692
B29122,CSDC du Nouvel-Ontario,488,527,461,544,2020
B29114,CSDC Franco-Nord,201,216,231,345,993
B66150,DSB Niagara,2717,3024,3334,5091,14166
B28002,DSB Ontario North East,741,763,782,1343,3629
B67083,Dufferin-Peel CDSB,7720,8064,8545,10094,34423
B67105,Durham CDSB,1832,1996,2034,2587,8449
B66060,Durham DSB,5167,5270,5812,7258,23507
B66168,Grand Erie DSB,2071,2279,2301,3502,10153
B66028,Greater Essex County DSB,2858,2827,2942,4028,12655
B67113,Halton CDSB,2355,2308,2389,3129,10181
B66133,Halton DSB,4050,4181,4136,6396,18763
B67121,Hamilton-Wentworth CDSB,2335,2335,2408,4135,11213
B66141,Hamilton-Wentworth DSB,3642,3790,3875,6101,17408
B66222,Hastings & Prince Edward DSB,1232,1282,1490,1999,6003
B67016,Huron Perth CDSB,297,305,374,472,1448
B29025,Huron-Superior CDSB,400,313,348,467,1528
B15148,James Bay Lowlands SSB,41,68,47,29,185
B66079,Kawartha Pine Ridge DSB,2449,2731,2973,4637,12790
B28045,Keewatin-Patricia DSB,463,554,573,802,2392
B29050,Kenora CDSB,112,96,87,103,398
B28061,Lakehead DSB,734,915,922,1258,3829
B66036,Lambton Kent DSB,1890,1937,2046,2960,8833
B66206,Limestone DSB,1439,1651,1767,3302,8159
B67032,London District Catholic School Board,1701,1835,1961,2715,8212
B28037,Near North DSB,894,902,966,1347,4109
B67156,Niagara CDSB,1790,1861,2067,2479,8197
B29017,Nipissing-Parry Sound CDSB,178,199,252,302,931
B29009,Northeastern CDSB,87,118,100,151,456
B67180,Ottawa CDSB,3235,3365,3856,4383,14839
B66184,Ottawa-Carleton DSB,5365,5437,5763,8486,25051
B66125,Peel DSB,12516,11396,11689,9997,45598
B67067,Peterborough Victoria Northumberland and Clarington CDSB,1166,1245,1205,1516,5132
B28029,Rainbow DSB,1181,1181,1284,1963,5609
B28053,Rainy River DSB,268,264,275,420,1227
B67199,Renfrew County CDSB,218,258,270,355,1101
B66214,Renfrew County DSB,810,870,991,1389,4060
B66109,Simcoe County DSB,3814,3932,4167,6181,18094
B67091,Simcoe Muskoka CDSB,1797,1960,1915,2350,8022
B67040,St Clair CDSB,649,666,705,942,2962
B29033,Sudbury CDSB,552,523,501,661,2237
B28070,Superior-Greenstone DSB,215,181,205,300,901
B66044,Thames Valley DSB,5496,5528,5923,8978,25925
B29068,Thunder Bay CDSB,593,616,622,717,2548
B67059,Toronto CDSB,7171,7083,7520,9360,31134
B66052,Toronto DSB,17859,19280,20424,28422,85985
B66087,Trillium Lakelands DSB,1491,1449,1798,2310,7048
B66192,Upper Canada DSB,2237,2343,2613,4853,12046
B66117,Upper Grand DSB,2809,2638,2752,4051,12250
B67148,Waterloo CDSB,1485,1665,1659,2409,7218
B66176,Waterloo Region DSB,4564,4800,4932,7185,21481
B67130,Wellington CDSB,565,643,636,825,2669
B67024,Windsor-Essex CDSB,1889,2031,2284,2599,8803
B67075,York CDSB,4498,4474,4545,5013,18530
B66095,York Region DSB,8730,9236,9726,12822,40514
