Board Number,Board Name,JK,K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Total Elementary,Grade 9,Grade 10,Grade 11,Grade 12,Total Secondary,Total Enrolment
B28010,Algoma DSB,654,675,651,641,606,625,627,639,680,761,6559,804,851,893,1464,4012,10571
B67202,Algonquin and Lakeshore CDSB,776,828,741,739,757,713,778,755,749,775,7611,912,848,1133,1464,4357,11968
B66010,Avon Maitland DSB,972,1009,1029,1005,1016,1013,1015,1068,1050,1091,10268,1366,1326,1460,2227,6379,16647
B66001,Bluewater DSB,1114,1165,1120,1126,1127,1080,1098,1237,1125,1227,11419,1278,1284,1319,2169,6050,17469
B67164,Brant Haldimand Norfolk CDSB,555,607,605,608,669,623,653,676,657,702,6355,795,840,861,1232,3728,10083
B67008,Bruce-Grey CDSB,228,263,218,251,222,246,217,252,259,246,2402,298,269,307,434,1308,3710
B67172,CDSB of Eastern Ontario,753,790,815,812,793,884,868,981,1015,1112,8823,1098,1052,1081,1406,4637,13460
B66311,CêP de l'Est de l'Ontario,1089,1081,1050,957,920,818,832,739,807,804,9097,860,967,924,1196,3947,13044
B67300,Conseil scolaire catholique Providence,870,862,867,865,782,713,649,588,577,605,7378,364,404,360,452,1580,8958
B66303,CS Viamonde,1034,1096,969,927,834,749,625,611,502,472,7819,418,383,385,438,1624,9443
B28118,CSD du Grand Nord de l'Ontario,184,182,167,159,179,164,120,138,147,160,1600,136,136,165,268,705,2305
B28100,CSD du Nord-Est de l'Ontario,176,202,158,166,128,135,130,131,128,144,1498,94,99,90,167,450,1948
B67318,CSDC Centre-Sud,1361,1327,1313,1307,1189,1166,1055,1048,928,980,11674,741,680,712,728,2861,14535
B67326,CSDC de l'Est ontarien,746,778,743,740,734,681,703,707,659,729,7220,759,786,827,1082,3454,10674
B29130,CSDC des Aurores bor?ales,70,70,80,64,59,70,62,55,42,55,627,33,22,16,28,99,726
B29106,CSDC des Grandes Rivi?res,432,392,450,396,402,418,439,436,441,479,4285,498,515,496,608,2117,6402
B67334,CSDC du Centre-Est de l'Ontario,1812,1866,1827,1668,1633,1549,1548,1462,1262,1315,15942,1256,1181,1171,1157,4765,20707
B29122,CSDC du Nouvel-Ontario,545,529,599,493,525,515,502,494,464,429,5095,459,474,506,497,1936,7031
B29114,CSDC Franco-Nord,199,191,205,170,198,178,204,210,221,205,1981,223,204,214,302,943,2924
B66150,DSB Niagara,2207,2291,2306,2301,2376,2404,2406,2641,2508,2706,24146,2842,2762,3093,4923,13620,37766
B28002,DSB Ontario North East,443,436,442,445,432,433,432,425,478,483,4449,694,775,786,1233,3488,7937
B67083,Dufferin-Peel CDSB,4288,4482,4748,4939,5088,4934,5127,5515,5521,5761,50403,7633,7826,8219,10493,34171,84574
B67105,Durham CDSB,1256,1353,1380,1405,1412,1473,1500,1564,1537,1644,14524,1681,1876,2001,2607,8165,22689
B66060,Durham DSB,4219,4445,4618,4616,4618,4785,4574,4886,4812,5062,46635,5120,5216,5288,7568,23192,69827
B66168,Grand Erie DSB,1686,1657,1724,1718,1673,1765,1731,1888,1832,1856,17530,2049,2159,2268,3514,9990,27520
B66028,Greater Essex County DSB,2258,2405,2333,2389,2324,2414,2333,2473,2524,2477,23930,2915,2753,2908,3975,12551,36481
B67113,Halton CDSB,1820,1940,1969,1998,2079,2119,2054,2197,1999,2150,20325,2410,2353,2353,3170,10286,30611
B66133,Halton DSB,3697,4145,4417,4293,4382,4309,4136,4020,3974,3904,41277,4064,4147,4239,6425,18875,60152
B67121,Hamilton-Wentworth CDSB,1724,1760,1748,1885,1837,1857,1869,2011,1919,1984,18594,2298,2349,2301,4234,11182,29776
B66141,Hamilton-Wentworth DSB,3125,3466,3447,3328,3356,3474,3292,3535,3491,3664,34178,3617,3651,3800,5904,16972,51150
B66222,Hastings & Prince Edward DSB,995,1053,1028,992,1020,1012,1031,1076,1060,1124,10391,1189,1276,1318,1962,5745,16136
B67016,Huron Perth CDSB,295,312,298,308,318,309,306,320,310,323,3099,328,300,306,485,1419,4518
B29025,Huron-Superior CDSB,344,322,314,342,363,376,349,409,406,407,3632,360,348,298,481,1487,5119
