,,"ACTIVE APPRENTICESHIP PROGRAM PARTICIPANTS, APPRENTICESHIP SPONSORS & APPROVED TRAINING DELIVERY AGENTS (TDA) BY TRADE - PROVINCE OF ONTARIO",,,,,,,,,,,,
TRADE SECTOR,TRADE NAME,TRADE CODE,RED SEAL,TOTAL PARTICIPANTS,FEMALE,MALE,AGE UNDER 20,AGE 20-29,AGE 30-44,AGE 45-54,AGE 55PLUS,SPONSORS*,PUBLIC TDAS*,PRIVATE TDAS*
AUTOMOTIVE,Agricultural Equipment Technician,425A,YES,366,<20,>20,>20,>20,>20,<20,0,174,9,1
AUTOMOTIVE,Alignment and Brakes Technician,310E,NO,48,<20,>20,0,<20,<20,<20,<20,25,1,0
AUTOMOTIVE,Auto Body and Collision Damage Repairer,310B,YES,1160,36,1124,>20,>20,>20,>20,<20,806,5,0
AUTOMOTIVE,Auto Body Repairer,310Q,NO,144,<20,>20,<20,71,46,<20,<20,137,5,0
AUTOMOTIVE,Automotive Electronic Accessory Technician,310K,NO,60,0,60,0,40,<20,<20,<20,46,0,0
AUTOMOTIVE,Automotive Glass Technician,274L,NO,37,<20,>20,0,<20,<20,<20,<20,18,0,0
AUTOMOTIVE,Automotive Painter,410N,YES,121,<20,>20,<20,82,32,<20,<20,106,1,0
AUTOMOTIVE,Automotive Service Technician,310S,YES,10917,368,10549,1437,7163,1984,270,63,5603,16,0
AUTOMOTIVE,Heavy Duty Equipment Technician,421A,YES,1565,26,1539,>20,>20,>20,>20,<20,553,11,1
AUTOMOTIVE,Marine Engine Technician,435B,NO,213,<20,>20,<20,139,50,<20,<20,156,4,0
AUTOMOTIVE,Motive Power Machinist,410K,NO,40,0,40,<20,<20,<20,<20,<20,20,0,0
AUTOMOTIVE,Motorcycle Technician,310G,YES,297,<20,>20,24,165,82,<20,<20,181,2,0
AUTOMOTIVE,Powered Lift Truck Technician,282E,NO,64,<20,>20,<20,35,25,<20,<20,47,9,1
AUTOMOTIVE,Recreation Vehicle Technician,690H,YES,67,<20,>20,<20,<20,31,<20,<20,32,1,0
AUTOMOTIVE,Small Engine Technician,435A,NO,244,<20,>20,27,160,38,<20,<20,210,4,0
AUTOMOTIVE,Tire Wheel and Rim Mechanic,295A,NO,<20,0,<20,<20,<20,<20,<20,<20,13,0,0
AUTOMOTIVE,Transmission Technician,310D,NO,70,<20,>20,<20,25,29,<20,<20,56,1,0
AUTOMOTIVE,Truck and Coach Technician,310T,YES,3645,50,3595,272,2150,964,216,43,1731,11,1
AUTOMOTIVE,Truck-Trailer Service Technician,310J,YES,221,0,221,<20,84,94,31,<20,116,1,0
AUTOMOTIVE,Turf Equipment Technician,421C,NO,<20,0,<20,0,<20,<20,0,0,8,1,0
CONSTRUCTION,Architectural Glass and Metal Technician,424A,YES,251,<20,>20,<20,127,99,<20,<20,45,0,2
