COLLEGE,COUNTRY OF CITIZENSHIP,HEAD COUNT
Algonquin College,BANGLADESH,19
Algonquin College,BRAZIL,12
Algonquin College,CAMEROON,14
Algonquin College,CANADA,"14,501"
Algonquin College,CHINA,263
Algonquin College,COLOMBIA,16
Algonquin College,"CONGO, DEMOCRATIC REPUBLIC OF THE",10
Algonquin College,HAITI,36
Algonquin College,INDIA,294
Algonquin College,IRAN,21
Algonquin College,IRAQ,10
Algonquin College,JAMAICA,10
Algonquin College,JAPAN,11
Algonquin College,JORDAN,17
Algonquin College,KOREA SOUTH,24
Algonquin College,LEBANON,25
Algonquin College,MEXICO,24
Algonquin College,MOROCCO,10
Algonquin College,NEPAL,18
Algonquin College,NIGERIA,38
Algonquin College,NOT REPORTED,75
Algonquin College,PAKISTAN,31
Algonquin College,PERU,11
Algonquin College,PHILIPPINES,35
Algonquin College,RUSSIAN FEDERATION,28
Algonquin College,SAUDI ARABIA,47
Algonquin College,SRI LANKA,18
Algonquin College,UKRAINE,10
Algonquin College,UNITED KINGDOM,42
Algonquin College,UNITED STATES,39
Algonquin College,VIET NAM,36
Algonquin College,ZAMBIA,16
Algonquin College,Total,"16,068"
Collège Boréal,BURUNDI,12
Collège Boréal,CAMEROON,16
Collège Boréal,CANADA,"1,394"
Collège Boréal,"CONGO, DEMOCRATIC REPUBLIC OF THE",42
Collège Boréal,CÔTE D'IVOIRE,10
Collège Boréal,HAITI,41
Collège Boréal,Total,"1,564"
Cambrian College,NEPAL,248
Cambrian College,NIGER,10
Cambrian College,NOT REPORTED,"4,354"
Cambrian College,Total,"4,659"
Canadore College,CANADA,"2,518"
Canadore College,CHINA,15
Canadore College,NOT REPORTED,16
Canadore College,Total,"2,552"
Centennial College,AFGHANISTAN,32
Centennial College,BANGLADESH,227
Centennial College,BRAZIL,20
Centennial College,CAMEROON,10
Centennial College,CANADA,"7,574"
Centennial College,CHINA,"1,175"
Centennial College,COLOMBIA,33
Centennial College,ERITREA,15
Centennial College,ETHIOPIA,16
Centennial College,GRENADA,10
Centennial College,GUYANA,44
Centennial College,HAITI,19
Centennial College,INDIA,"1,966"
Centennial College,IRAN,33
Centennial College,IRAQ,14
Centennial College,JAMAICA,117
Centennial College,JAPAN,11
Centennial College,KOREA SOUTH,250
Centennial College,MEXICO,29
Centennial College,NEPAL,29
Centennial College,NIGERIA,74
Centennial College,NOT REPORTED,669
Centennial College,PAKISTAN,84
Centennial College,PANAMA,12
Centennial College,PHILIPPINES,165
Centennial College,RUSSIAN FEDERATION,45
Centennial College,SAUDI ARABIA,18
Centennial College,SRI LANKA,127
Centennial College,ST VINCENT AND THE GRENADINES,13
Centennial College,TANZANIA UNITED REPUBLIC OF,11
Centennial College,TRINIDAD AND TOBAGO,13
Centennial College,TURKEY,23
Centennial College,UGANDA,12
Centennial College,UKRAINE,37
Centennial College,UNITED KINGDOM,11
Centennial College,UNITED STATES,25
Centennial College,VENEZUELA,48
Centennial College,VIET NAM,34
