COLLEGE,CREDENTIAL TYPE,HEAD COUNT
Algonquin College,Certificate,"2,577"
Algonquin College,Degree (includes applied degree),381
Algonquin College,Diploma,"13,110"
Algonquin College,Total,"16,068"
Collège Boréal,Certificate,236
Collège Boréal,Degree (includes applied degree),19
Collège Boréal,Diploma,"1,309"
Collège Boréal,Total,"1,564"
Cambrian College,Certificate,977
Cambrian College,Degree (includes applied degree),321
Cambrian College,Diploma,"3,287"
Cambrian College,Not Applicable,74
Cambrian College,Total,"4,659"
Canadore College,Certificate,399
Canadore College,Diploma,"2,153"
Canadore College,Total,"2,552"
Centennial College,Certificate,"2,458"
Centennial College,Degree (includes applied degree),425
Centennial College,Diploma,"10,433"
Centennial College,Total,"13,316"
La Cité collégiale,Certificate,453
La Cité collégiale,Degree (includes applied degree),76
La Cité collégiale,Diploma,"3,898"
La Cité collégiale,Total,"4,427"
Conestoga College,Certificate,"2,171"
Conestoga College,Degree (includes applied degree),"1,386"
Conestoga College,Diploma,"6,784"
Conestoga College,Not Applicable,120
Conestoga College,Total,"10,461"
Confederation College,Certificate,830
Confederation College,Degree (includes applied degree),615
Confederation College,Diploma,"1,673"
Confederation College,Other type of credential associated with a program,108
Confederation College,Total,"3,226"
Durham College,Certificate,"1,811"
Durham College,Diploma,"7,008"
Durham College,Total,"8,819"
Fanshawe College,Certificate,"2,840"
Fanshawe College,Degree (includes applied degree),418
Fanshawe College,Diploma,"10,970"
Fanshawe College,Total,"14,228"
George Brown College,Certificate,"2,926"
George Brown College,Degree (includes applied degree),855
George Brown College,Diploma,"13,117"
George Brown College,Other type of credential associated with a program,355
George Brown College,Total,"17,253"
Georgian College,Certificate,"1,822"
Georgian College,Degree (includes applied degree),644
Georgian College,Diploma,"7,221"
Georgian College,Total,"9,687"
Humber College,Certificate,"3,245"
Humber College,Degree (includes applied degree),"3,808"
Humber College,Diploma,"16,080"
Humber College,Total,"23,133"
Lambton College,Certificate,822
Lambton College,Diploma,"2,662"
Lambton College,Total,"3,484"
Loyalist College,Certificate,278
Loyalist College,Degree (includes applied degree),101
Loyalist College,Diploma,"2,417"
Loyalist College,Total,"2,796"
Mohawk College,Certificate,"1,662"
Mohawk College,Degree (includes applied degree),591
Mohawk College,Diploma,"9,912"
Mohawk College,Total,"12,165"
Niagara College,Certificate,"1,398"
Niagara College,Degree (includes applied degree),320
Niagara College,Diploma,"6,918"
Niagara College,Total,"8,636"
Northern College,Certificate,250
Northern College,Degree (includes applied degree),159
Northern College,Diploma,896
Northern College,Total,"1,305"
St. Clair College,Certificate,"1,350"
St. Clair College,Degree (includes applied degree),350
St. Clair College,Diploma,"6,358"
St. Clair College,Total,"8,058"
St. Lawrence College,Certificate,607
St. Lawrence College,Degree (includes applied degree),894
St. Lawrence College,Diploma,"4,449"
St. Lawrence College,Other type of credential associated with a program,14
St. Lawrence College,Total,"5,964"
Sault College,Certificate,382
Sault College,Degree (includes applied degree),216
Sault College,Diploma,"1,752"
Sault College,Total,"2,350"
Seneca College,Certificate,"2,311"
Seneca College,Degree (includes applied degree),"1,927"
Seneca College,Diploma,"15,599"
Seneca College,Total,"19,837"
Sheridan College,Certificate,"2,200"
Sheridan College,Degree (includes applied degree),"2,427"
Sheridan College,Diploma,"12,479"
Sheridan College,Total,"17,106"
Sir Sandford Fleming College,Certificate,"1,088"
Sir Sandford Fleming College,Diploma,"4,699"
Sir Sandford Fleming College,Total,"5,787"
Total,,"216,881"
