Board Number,Board Name,Elementary Male Enrolment,Elementary Female Enrolment,Secondary Male Enrolment,Secondary Female Enrolment,Total Male Enrolment,Total Female Enrolment
B28010,Algoma DSB,"3,413","3,146","2,090","1,922","5,503","5,068"
B67202,Algonquin and Lakeshore CDSB,"3,835","3,776","2,095","2,262","5,930","6,038"
B66010,Avon Maitland DSB,"5,285","4,983","3,276","3,103","8,561","8,086"
B66001,Bluewater DSB,"5,892","5,527","3,188","2,862","9,080","8,389"
B67164,Brant Haldimand Norfolk CDSB,"3,211","3,144","1,807","1,921","5,018","5,065"
B67008,Bruce-Grey CDSB,"1,227","1,175",637,671,"1,864","1,846"
B67172,CDSB of Eastern Ontario,"4,518","4,305","2,415","2,222","6,933","6,527"
B66311,CêP de l'Est de l'Ontario,"4,570","4,527","1,805","2,142","6,375","6,669"
B67300,Conseil scolaire catholique Providence,"3,455","3,923",723,857,"4,178","4,780"
B66303,CS Viamonde,"3,774","4,045",816,808,"4,590","4,853"
B28118,CSD du Grand Nord de l'Ontario,804,796,357,348,"1,161","1,144"
B28100,CSD du Nord-Est de l'Ontario,731,767,220,230,951,997
B67318,CSDC Centre-Sud,"5,621","6,053","1,390","1,471","7,011","7,524"
B67326,CSDC de l'Est ontarien,"3,660","3,560","1,633","1,821","5,293","5,381"
B29130,CSDC des Aurores borÇales,345,282,50,49,395,331
B29106,CSDC des Grandes Riviäres,"2,077","2,208","1,088","1,029","3,165","3,237"
B67334,CSDC du Centre-Est de l'Ontario,"7,822","8,120","2,353","2,412","10,175","10,532"
B29122,CSDC du Nouvel-Ontario,"2,467","2,628",919,"1,017","3,386","3,645"
B29114,CSDC Franco-Nord,976,"1,005",452,491,"1,428","1,496"
B66150,DSB Niagara,"12,399","11,747","7,008","6,612","19,407","18,359"
B28002,DSB Ontario North East,"2,336","2,113","1,862","1,626","4,198","3,739"
B67083,Dufferin-Peel CDSB,"25,829","24,574","17,458","16,713","43,287","41,287"
B67105,Durham CDSB,"7,459","7,065","4,265","3,900","11,724","10,965"
B66060,Durham DSB,"23,872","22,763","12,129","11,063","36,001","33,826"
B66168,Grand Erie DSB,"9,069","8,461","5,216","4,774","14,285","13,235"
B66028,Greater Essex County DSB,"12,440","11,490","6,698","5,853","19,138","17,343"
B67113,Halton CDSB,"10,434","9,891","5,400","4,886","15,834","14,777"
B66133,Halton DSB,"21,026","20,251","9,826","9,049","30,852","29,300"
B67121,Hamilton-Wentworth CDSB,"9,501","9,093","5,724","5,458","15,225","14,551"
B66141,Hamilton-Wentworth DSB,"17,688","16,490","9,046","7,926","26,734","24,416"
B66222,Hastings & Prince Edward DSB,"5,297","5,094","3,048","2,697","8,345","7,791"
B67016,Huron Perth CDSB,"1,577","1,522",698,721,"2,275","2,243"
B29025,Huron-Superior CDSB,"1,835","1,797",760,727,"2,595","2,524"
B15148,James Bay Lowlands SSB,,,97,107,97,107
B66079,Kawartha Pine Ridge DSB,"11,150","10,677","6,335","5,947","17,485","16,624"
B28045,Keewatin-Patricia DSB,"1,476","1,368","1,204","1,124","2,680","2,492"
B29050,Kenora CDSB,586,609,230,191,816,800
