UNIVERSITY,COUNTRY OF CITIZENSHIP,HEAD COUNT
Algoma,CANADA,869
Algoma,CHINA,38
Algoma,INDIA,10
Algoma,NIGERIA,14
Algoma,SAUDI ARABIA,113
Algoma,Total,"1,106"
Brock,BAHAMAS,12
Brock,BANGLADESH,23
Brock,BERMUDA,17
Brock,CANADA,"13,912"
Brock,CHINA,995
Brock,COLOMBIA,17
Brock,EGYPT,12
Brock,ENGLAND,14
Brock,GHANA,33
Brock,INDIA,129
Brock,IRAN,30
Brock,JAMAICA,13
Brock,KOREA SOUTH,25
Brock,NIGERIA,47
Brock,PAKISTAN,62
Brock,PHILIPPINES,16
Brock,RUSSIAN FEDERATION,12
Brock,SAUDI ARABIA,78
Brock,SRI LANKA,12
Brock,TRINIDAD AND TOBAGO,15
Brock,UNITED KINGDOM,27
Brock,UNITED STATES,59
Brock,ZIMBABWE,22
Brock,Total,"15,854"
Carleton,AFGHANISTAN,26
Carleton,ALGERIA,10
Carleton,AUSTRALIA,10
Carleton,BANGLADESH,88
Carleton,BOTSWANA,24
Carleton,BRAZIL,28
Carleton,BURUNDI,10
Carleton,CANADA,"18,557"
Carleton,CHINA,729
Carleton,COLOMBIA,47
Carleton,"CONGO, DEMOCRATIC REPUBLIC OF THE",17
Carleton,ECUADOR,11
Carleton,EGYPT,134
Carleton,ENGLAND,21
Carleton,ETHIOPIA,27
Carleton,FRANCE,24
Carleton,GERMANY,24
Carleton,GHANA,34
Carleton,HAITI,16
Carleton,HONG KONG,16
Carleton,INDIA,256
Carleton,INDONESIA,16
Carleton,IRAN,179
Carleton,IRAQ,55
Carleton,ISRAEL,14
Carleton,JAMAICA,11
Carleton,JAPAN,22
Carleton,JORDAN,128
Carleton,KAZAKHSTAN,15
Carleton,KENYA,31
Carleton,KOREA SOUTH,78
Carleton,LEBANON,51
Carleton,LIBYA,23
Carleton,MALAYSIA,107
Carleton,MAURITIUS,15
Carleton,MEXICO,26
Carleton,MOROCCO,10
Carleton,NEPAL,20
Carleton,NETHERLANDS,11
Carleton,NIGERIA,250
Carleton,NOT REPORTED,20
Carleton,PAKISTAN,137
Carleton,PALESTINIAN TERRITORY OCCUPIED,35
Carleton,PHILIPPINES,26
Carleton,ROMANIA,13
Carleton,RUSSIAN FEDERATION,30
Carleton,RWANDA,12
Carleton,SAUDI ARABIA,191
Carleton,SOMALIA,17
Carleton,SPAIN,15
Carleton,SRI LANKA,55
Carleton,Syria,43
Carleton,TAIWAN,16
Carleton,TRINIDAD AND TOBAGO,14
Carleton,TURKEY,57
Carleton,UGANDA,20
Carleton,UKRAINE,10
Carleton,UNITED ARAB EMIRATES,24
Carleton,UNITED KINGDOM,61
Carleton,UNITED STATES,98
Carleton,VENEZUELA,15
Carleton,VIET NAM,33
Carleton,YEMEN,14
Carleton,ZIMBABWE,10
Carleton,Total,"22,436"
Guelph,BANGLADESH,28
Guelph,BRAZIL,28
Guelph,CANADA,"23,365"
Guelph,CHINA,296
Guelph,COLOMBIA,24
Guelph,EGYPT,22
Guelph,ENGLAND,16
Guelph,FRANCE,12
Guelph,GERMANY,19
Guelph,GHANA,19
Guelph,HONG KONG,20
Guelph,INDIA,155
Guelph,INDONESIA,12
Guelph,IRAN,58
Guelph,IRAQ,20
Guelph,ISRAEL,13
Guelph,JAMAICA,27
Guelph,KENYA,10
Guelph,KOREA SOUTH,45
Guelph,MALAYSIA,30
Guelph,MEXICO,18
Guelph,NEPAL,12
Guelph,NETHERLANDS,21
Guelph,NIGERIA,31
Guelph,PAKISTAN,52
Guelph,PHILIPPINES,30
Guelph,SAUDI ARABIA,35
Guelph,SOUTH AFRICA,13
Guelph,SRI LANKA,24
Guelph,TAIWAN,11
Guelph,TRINIDAD AND TOBAGO,28
Guelph,UNITED KINGDOM,31
Guelph,UNITED STATES,121
Guelph,Total,"24,920"
Lakehead,CANADA,"6,740"
Lakehead,CHINA,76
Lakehead,INDIA,36
Lakehead,IRAN,16
Lakehead,NIGERIA,22
Lakehead,PAKISTAN,10
Lakehead,SAUDI ARABIA,13
Lakehead,UNITED STATES,27
Lakehead,Total,"7,100"
Laurentian,BOTSWANA,20
Laurentian,CANADA,"6,111"
Laurentian,CHINA,148
Laurentian,FRANCE,13
Laurentian,INDIA,20
Laurentian,NIGERIA,24
Laurentian,NOT REPORTED,13
Laurentian,SAUDI ARABIA,188
Laurentian,UNITED STATES,14
Laurentian,Total,"6,753"
McMaster,AFGHANISTAN,16
McMaster,ARGENTINA,10
McMaster,AUSTRALIA,25
McMaster,BANGLADESH,70
