UNIVERSITY,PROVINCE OF RESIDENCE,HEAD COUNT
Algoma,Not Applicable,133
Algoma,Ontario,970
Algoma,Total,"1,106"
Brock,Alberta,23
Brock,British Columbia,51
Brock,Manitoba,11
Brock,Not Applicable,772
Brock,Nova Scotia,22
Brock,Ontario,"14,877"
Brock,Québec,18
Brock,United States,55
Brock,Total,"15,854"
Carleton,Alberta,292
Carleton,British Columbia,326
Carleton,Manitoba,95
Carleton,New Brunswick,101
Carleton,Newfoundland and Labrador,43
Carleton,Not Applicable,"3,014"
Carleton,Nova Scotia,169
Carleton,Nunavut,11
Carleton,Ontario,"17,743"
Carleton,Prince Edward Island,26
Carleton,Québec,526
Carleton,Saskatchewan,63
Carleton,Yukon,18
Carleton,Total,"22,436"
Guelph,Alberta,128
Guelph,British Columbia,208
Guelph,Manitoba,42
Guelph,New Brunswick,33
Guelph,Newfoundland and Labrador,12
Guelph,Not Applicable,827
Guelph,Nova Scotia,70
Guelph,Ontario,"22,813"
Guelph,Québec,73
Guelph,Saskatchewan,20
Guelph,Unknown,669
Guelph,Yukon,10
Guelph,Total,"24,920"
Lakehead,Alberta,105
Lakehead,British Columbia,87
Lakehead,Manitoba,86
Lakehead,New Brunswick,10
Lakehead,Newfoundland and Labrador,27
Lakehead,Not Applicable,145
Lakehead,Nova Scotia,39
Lakehead,Ontario,"6,528"
Lakehead,Québec,29
Lakehead,Saskatchewan,25
Lakehead,Total,"7,100"
Laurentian,Alberta,18
Laurentian,British Columbia,17
Laurentian,Manitoba,10
Laurentian,Not Applicable,78
Laurentian,Ontario,"6,551"
Laurentian,Québec,47
Laurentian,Total,"6,753"
McMaster,Alberta,90
McMaster,British Columbia,154
McMaster,Manitoba,30
McMaster,New Brunswick,37
McMaster,Newfoundland and Labrador,17
McMaster,Not Applicable,"1,171"
McMaster,Nova Scotia,52
McMaster,Ontario,"24,108"
McMaster,Québec,40
McMaster,Saskatchewan,17
McMaster,Unknown,70
McMaster,Total,"25,793"
Nipissing,Not Applicable,38
Nipissing,Nova Scotia,10
Nipissing,Ontario,"3,675"
Nipissing,Québec,22
Nipissing,Total,"3,766"
NOSM,Ontario,361
NOSM,Total,387
OCAD,Alberta,26
OCAD,British Columbia,70
OCAD,Not Applicable,130
OCAD,Ontario,"3,250"
OCAD,Québec,35
OCAD,United States,29
OCAD,Total,"3,571"
Ottawa,Alberta,249
Ottawa,British Columbia,320
Ottawa,Manitoba,115
Ottawa,New Brunswick,298
Ottawa,Newfoundland and Labrador,52
Ottawa,Northwest Territories,10
Ottawa,Not Applicable,"1,401"
Ottawa,Nova Scotia,142
Ottawa,Ontario,"27,316"
Ottawa,Prince Edward Island,26
Ottawa,Québec,"5,026"
Ottawa,Saskatchewan,62
Ottawa,United States,102
Ottawa,Total,"35,132"
"Queen""s",Not Applicable,"1,994"
